"time","signal","delayedSignals[5]","delayedSignals[4]","delayedSignals[3]","delayedSignals[2]","delayedSignals[1]"
0.184,0.9152411726209175,0,0,0,0.5036232016357607,0.9152411726209175
0.186,0.9202318473658703,0,0,0,0.5144395337815063,0.9202318473658703
0.188,0.925077206834458,0,0,0,0.5251746299612956,0.925077206834458
0.19,0.9297764858882513,0,0,0,0.5358267949789967,0.9297764858882513
0.192,0.934328942456612,0,0,0,0.5463943467342691,0.934328942456612
0.194,0.9387338576538741,0,0,0,0.556875616488188,0.9387338576538741
0.196,0.9429905358928644,0,0,0,0.5672689491267565,0.9429905358928644
0.198,0.9470983049947443,0,0,0,0.5775727034222675,0.9470983049947443
0.2,0.9510565162951535,0,0,0,0.5877852522924731,0.9510565162951535
0.202,0.954864544746643,0,0,0.012566039883352607,0.5979049830575188,0.954864544746643
0.204,0.9585217890173758,0,0,0.025130095443337327,0.6079302976946053,0.9585217890173758
0.206,0.9620276715860858,0,0,0.0376901826699344,0.6178596130903342,0.9620276715860858
0.208,0.9653816388332739,0,0,0.050244318179769425,0.6276913612907004,0.9653816388332739
0.21,0.9685831611286311,0,0,0.06279051952931325,0.6374239897486895,0.9685831611286311
0.212,0.9716317329146739,0,0,0.07532680552793261,0.6470559615694441,0.9716317329146739
0.214,0.9745268727865771,0,0,0.08785119655074307,0.6565857557529564,0.9745268727865771
0.216,0.9772681235681935,0,0,0.10036171485121481,0.6660118674342516,0.9772681235681935
0.218,0.9798550523842469,0,0,0.1128563848734816,0.6753328081210244,0.9798550523842469
0.22,0.9822872507286886,0,0,0.1253332335643042,0.6845471059286886,0.9822872507286886
0.222,0.9845643345292053,0,0,0.137790290684638,0.6936533058128049,0.9845643345292053
0.224,0.986685944207868,0,0,0.150225589120757,0.7026499697988492,0.986685944207868
0.226,0.9886517447379141,0,0,0.16263716519488355,0.7115356772092853,0.9886517447379141
0.228,0.9904614256966512,0,0,0.175023058975276,0.7203090248879069,0.9904614256966512
0.23,0.9921147013144779,0,0,0.1873813145857246,0.7289686274214116,0.9921147013144779
0.232,0.9936113105200084,0,0,0.19970998051440703,0.7375131173581739,0.9936113105200084
0.234,0.9949510169813002,0,0,0.21200710992205463,0.7459411454241821,0.9949510169813002
0.236,0.9961336091431725,0,0,0.224270760949381,0.7542513807361036,0.9961336091431725
0.238,0.9971589002606139,0,0,0.23649899702372454,0.7624425110114478,0.9971589002606139
0.24,0.9980267284282716,0,0,0.24868988716485466,0.7705132427757891,0.9980267284282716
0.242,0.9987369566060175,0,0,0.26084150628989683,0.7784623015670233,0.9987369566060175
0.244,0.9992894726405892,0,0,0.27295193551732505,0.7862884321366188,0.9992894726405892
0.246,0.9996841892832999,0,0,0.285019262469976,0.7939903986478353,0.9996841892832999
0.248,0.9999210442038161,0,0,0.29704158157703486,0.8015669848708765,0.9999210442038161
0.25,1,0,0,0.30901699437494734,0.8090169943749475,1
0.252,0.9999210442038161,0,0,0.32094360980720943,0.8163392507171839,0.9999210442038161
0.254,0.9996841892832999,0,0,0.33281954452298657,0.8235325976284275,0.9996841892832999
0.256,0.9992894726405892,0,0,0.344642923174517,0.8305958991958126,0.9992894726405892
0.258,0.9987369566060175,0,0,0.3564118787132507,0.8375280400421417,0.9987369566060175
0.26,0.9980267284282716,0,0,0.3681245526846779,0.8443279255020151,0.9980267284282716
0.262,0.9971589002606139,0,0,0.37977909552180106,0.8509944817946918,0.9971589002606139
0.264,0.9961336091431725,0,0,0.3913736668372024,0.8575266561936523,0.9961336091431725
0.266,0.9949510169813002,0,0,0.40290643571366264,0.8639234171928353,0.9949510169813002
0.268,0.9936113105200084,0,0,0.41437558099328414,0.8701837546695257,0.9936113105200084
0.27,0.9921147013144778,0,0,0.4257792915650727,0.8763066800438637,0.9921147013144778
0.272,0.9904614256966512,0,0,0.4371157666509328,0.8822912264349532,0.9904614256966512
0.274,0.988651744737914,0,0,0.44838321609003223,0.8881364488135445,0.988651744737914
0.276,0.986685944207868,0,0,0.4595798606214878,0.8938414241512637,0.986685944207868
0.278,0.9845643345292053,0,0,0.4707039321653325,0.899405251566371,0.9845643345292053
0.28,0.9822872507286886,0,0,0.4817536741017153,0.9048270524660196,0.9822872507286886
0.282,0.9798550523842469,0,0,0.49272734154829134,0.9101059706849955,0.9798550523842469
0.284,0.9772681235681935,0,0,0.5036232016357606,0.9152411726209174,0.9772681235681935
0.286,0.9745268727865772,0,0,0.5144395337815062,0.9202318473658702,0.9745268727865772
0.288,0.971631732914674,0,0,0.5251746299612955,0.9250772068344579,0.971631732914674
0.29,0.9685831611286312,0,0,0.5358267949789965,0.9297764858882512,0.9685831611286312
0.292,0.965381638833274,0,0,0.546394346734269,0.9343289424566119,0.965381638833274
0.294,0.9620276715860859,0,0,0.5568756164881878,0.938733857653874,0.9620276715860859
0.296,0.958521789017376,0,0,0.5672689491267564,0.9429905358928643,0.958521789017376
0.298,0.9548645447466431,0,0,0.5775727034222674,0.9470983049947442,0.9548645447466431
0.3,0.9510565162951536,0,0,0.587785252292473,0.9510565162951535,0.9510565162951536
0.302,0.9470983049947443,0,0.01256603988335227,0.5979049830575187,0.954864544746643,0.9470983049947443
0.304,0.9429905358928645,0,0.025130095443337153,0.6079302976946053,0.9585217890173758,0.9429905358928645
0.306,0.9387338576538742,0,0.03769018266993422,0.6178596130903342,0.9620276715860858,0.9387338576538742
0.308,0.9343289424566121,0,0.05024431817976925,0.6276913612907004,0.9653816388332739,0.9343289424566121
0.31,0.9297764858882515,0,0.06279051952931308,0.6374239897486895,0.9685831611286311,0.9297764858882515
0.312,0.925077206834458,0,0.07532680552793244,0.6470559615694441,0.9716317329146739,0.925077206834458
0.314,0.9202318473658704,0,0.08785119655074289,0.6565857557529564,0.9745268727865771,0.9202318473658704
0.316,0.9152411726209176,0,0.10036171485121463,0.6660118674342516,0.9772681235681935,0.9152411726209176
0.318,0.9101059706849957,0,0.11285638487348143,0.6753328081210244,0.9798550523842469,0.9101059706849957
0.32,0.9048270524660195,0,0.125333233564304,0.6845471059286886,0.9822872507286886,0.9048270524660195
0.322,0.8994052515663712,0,0.13779029068463783,0.6936533058128049,0.9845643345292053,0.8994052515663712
0.324,0.8938414241512639,0,0.15022558912075684,0.7026499697988492,0.986685944207868,0.8938414241512639
0.326,0.8881364488135446,0,0.1626371651948834,0.7115356772092853,0.9886517447379141,0.8881364488135446
0.328,0.8822912264349533,0,0.17502305897527584,0.7203090248879069,0.9904614256966512,0.8822912264349533
0.33,0.8763066800438635,0,0.18738131458572443,0.7289686274214116,0.9921147013144779,0.8763066800438635
0.332,0.8701837546695257,0,0.19970998051440686,0.7375131173581739,0.9936113105200084,0.8701837546695257
0.334,0.8639234171928354,0,0.21200710992205446,0.7459411454241821,0.9949510169813002,0.8639234171928354
0.336,0.8575266561936522,0,0.224270760949381,0.7542513807361038,0.9961336091431725,0.8575266561936522
0.338,0.8509944817946917,0,0.23649899702372454,0.7624425110114479,0.9971589002606139,0.8509944817946917
0.34,0.844327925502015,0,0.24868988716485466,0.7705132427757893,0.9980267284282716,0.844327925502015
0.342,0.8375280400421418,0,0.26084150628989683,0.7784623015670233,0.9987369566060175,0.8375280400421418
0.344,0.8305958991958129,0,0.2729519355173247,0.7862884321366187,0.9992894726405892,0.8305958991958129
0.346,0.8235325976284276,0,0.28501926246997566,0.7939903986478352,0.9996841892832999,0.8235325976284276
0.348,0.816339250717184,0,0.2970415815770345,0.8015669848708764,0.9999210442038161,0.816339250717184
0.35,0.8090169943749475,0,0.309016994374947,0.8090169943749473,1,0.8090169943749475
0.352,0.8015669848708769,0,0.3209436098072091,0.8163392507171838,0.9999210442038161,0.8015669848708769
0.354,0.7939903986478355,0,0.33281954452298623,0.8235325976284273,0.9996841892832999,0.7939903986478355
0.356,0.786288432136619,0,0.34464292317451667,0.8305958991958124,0.9992894726405892,0.786288432136619
0.358,0.7784623015670235,0,0.35641187871325036,0.8375280400421415,0.9987369566060175,0.7784623015670235
0.36,0.7705132427757893,0,0.3681245526846776,0.844327925502015,0.9980267284282716,0.7705132427757893
0.362,0.7624425110114481,0,0.3797790955218007,0.8509944817946917,0.9971589002606139,0.7624425110114481
0.364,0.754251380736104,0,0.3913736668372021,0.8575266561936522,0.9961336091431725,0.754251380736104
0.366,0.7459411454241822,0,0.4029064357136623,0.8639234171928352,0.9949510169813002,0.7459411454241822
0.368,0.7375131173581739,0,0.4143755809932838,0.8701837546695256,0.9936113105200084,0.7375131173581739
0.37,0.7289686274214114,0,0.4257792915650724,0.8763066800438636,0.9921147013144778,0.7289686274214114
0.372,0.720309024887907,0,0.4371157666509326,0.8822912264349532,0.9904614256966512,0.720309024887907
0.374,0.7115356772092855,0,0.448383216090032,0.8881364488135445,0.988651744737914,0.7115356772092855
0.376,0.7026499697988492,0,0.4595798606214876,0.8938414241512637,0.986685944207868,0.7026499697988492
0.378,0.6936533058128049,0,0.4707039321653323,0.899405251566371,0.9845643345292053,0.6936533058128049
0.38,0.6845471059286888,0,0.4817536741017151,0.9048270524660196,0.9822872507286886,0.6845471059286888
0.382,0.6753328081210246,0,0.49272734154829134,0.9101059706849957,0.9798550523842469,0.6753328081210246
0.384,0.6660118674342517,0,0.5036232016357606,0.9152411726209175,0.9772681235681935,0.6660118674342517
0.386,0.6565857557529564,0,0.5144395337815062,0.9202318473658703,0.9745268727865772,0.6565857557529564
0.388,0.6470559615694442,0,0.5251746299612955,0.925077206834458,0.971631732914674,0.6470559615694442
0.39,0.6374239897486899,0,0.5358267949789965,0.9297764858882513,0.9685831611286312,0.6374239897486899
0.392,0.6276913612907006,0,0.546394346734269,0.934328942456612,0.965381638833274,0.6276913612907006
0.394,0.6178596130903343,0,0.5568756164881878,0.9387338576538741,0.9620276715860859,0.6178596130903343
0.396,0.6079302976946053,0,0.5672689491267564,0.9429905358928644,0.958521789017376,0.6079302976946053
0.398,0.5979049830575187,0,0.5775727034222674,0.9470983049947443,0.9548645447466431,0.5979049830575187
0.4,0.5877852522924732,0,0.587785252292473,0.9510565162951535,0.9510565162951536,0.5877852522924732
0.402,0.5775727034222676,0.012566039883352607,0.5979049830575187,0.954864544746643,0.9470983049947443,0.5775727034222676
0.404,0.5672689491267564,0.02513009544333748,0.6079302976946053,0.9585217890173758,0.9429905358928645,0.5672689491267564
0.406,0.5568756164881878,0.03769018266993454,0.6178596130903342,0.9620276715860858,0.9387338576538742,0.5568756164881878
0.408,0.5463943467342692,0.05024431817976925,0.6276913612907001,0.9653816388332739,0.9343289424566122,0.5463943467342692
0.41,0.535826794978997,0.06279051952931308,0.6374239897486893,0.9685831611286311,0.9297764858882516,0.535826794978997
0.412,0.525174629961296,0.07532680552793244,0.6470559615694439,0.9716317329146739,0.9250772068344582,0.525174629961296
0.414,0.5144395337815066,0.08785119655074289,0.6565857557529562,0.9745268727865771,0.9202318473658705,0.5144395337815066
0.416,0.5036232016357609,0.10036171485121463,0.6660118674342513,0.9772681235681935,0.9152411726209178,0.5036232016357609
0.418,0.49272734154829156,0.11285638487348143,0.6753328081210241,0.9798550523842469,0.9101059706849958,0.49272734154829156
0.42,0.4817536741017156,0.125333233564304,0.6845471059286884,0.9822872507286886,0.9048270524660196,0.4817536741017156
0.422,0.4707039321653328,0.13779029068463783,0.6936533058128047,0.9845643345292053,0.8994052515663713,0.4707039321653328
0.424,0.459579860621488,0.15022558912075684,0.702649969798849,0.986685944207868,0.893841424151264,0.459579860621488
