"time","delayedSignals[1,1]","delayedSignals[1,2]","delayedSignals[2,1]","delayedSignals[2,2]","delayedSignals[3,1]","delayedSignals[3,2]","delayedSignals[4,1]","delayedSignals[4,2]","delayedSignals[5,1]","delayedSignals[5,2]","signal[1]","signal[2]"
0.046,0.2850192624699761,0.9585217890173758,0,1,0,1,0,1,0,1,0.2850192624699761,0.9585217890173758
0.048,0.2970415815770349,0.954864544746643,0,1,0,1,0,1,0,1,0.2970415815770349,0.954864544746643
0.05,0.3090169943749474,0.9510565162951535,0,1,0,1,0,1,0,1,0.3090169943749474,0.9510565162951535
0.052,0.3209436098072095,0.9470983049947443,0,1,0,1,0,1,0,1,0.3209436098072095,0.9470983049947443
0.054,0.3328195445229866,0.9429905358928645,0,1,0,1,0,1,0,1,0.3328195445229866,0.9429905358928645
0.056,0.34464292317451706,0.9387338576538741,0,1,0,1,0,1,0,1,0.34464292317451706,0.9387338576538741
0.058,0.35641187871325075,0.934328942456612,0,1,0,1,0,1,0,1,0.35641187871325075,0.934328942456612
0.06,0.3681245526846779,0.9297764858882515,0,1,0,1,0,1,0,1,0.3681245526846779,0.9297764858882515
0.062,0.37977909552180106,0.925077206834458,0,1,0,1,0,1,0,1,0.37977909552180106,0.925077206834458
0.064,0.3913736668372024,0.9202318473658704,0,1,0,1,0,1,0,1,0.3913736668372024,0.9202318473658704
0.066,0.40290643571366264,0.9152411726209175,0,1,0,1,0,1,0,1,0.40290643571366264,0.9152411726209175
0.068,0.41437558099328414,0.9101059706849957,0,1,0,1,0,1,0,1,0.41437558099328414,0.9101059706849957
0.07,0.4257792915650727,0.9048270524660195,0,1,0,1,0,1,0,1,0.4257792915650727,0.9048270524660195
0.072,0.4371157666509328,0.8994052515663711,0,1,0,1,0,1,0,1,0.4371157666509328,0.8994052515663711
0.074,0.44838321609003223,0.8938414241512638,0,1,0,1,0,1,0,1,0.44838321609003223,0.8938414241512638
0.076,0.4595798606214878,0.8881364488135446,0,1,0,1,0,1,0,1,0.4595798606214878,0.8881364488135446
0.078,0.4707039321653325,0.8822912264349533,0,1,0,1,0,1,0,1,0.4707039321653325,0.8822912264349533
0.08,0.4817536741017153,0.8763066800438636,0,1,0,1,0,1,0,1,0.4817536741017153,0.8763066800438636
0.082,0.49272734154829156,0.8701837546695257,0,1,0,1,0,1,0,1,0.49272734154829156,0.8701837546695257
0.084,0.5036232016357608,0.8639234171928353,0,1,0,1,0,1,0,1,0.5036232016357608,0.8639234171928353
0.086,0.5144395337815063,0.8575266561936523,0,1,0,1,0,1,0,1,0.5144395337815063,0.8575266561936523
0.088,0.5251746299612956,0.850994481794692,0,1,0,1,0,1,0,1,0.5251746299612956,0.850994481794692
0.09,0.5358267949789967,0.8443279255020151,0,1,0,1,0,1,0,1,0.5358267949789967,0.8443279255020151
0.092,0.5463943467342691,0.8375280400421418,0,1,0,1,0,1,0,1,0.5463943467342691,0.8375280400421418
0.094,0.556875616488188,0.8305958991958127,0,1,0,1,0,1,0,1,0.556875616488188,0.8305958991958127
0.096,0.5672689491267565,0.8235325976284275,0,1,0,1,0,1,0,1,0.5672689491267565,0.8235325976284275
0.098,0.5775727034222675,0.8163392507171839,0,1,0,1,0,1,0,1,0.5775727034222675,0.8163392507171839
0.1,0.5877852522924731,0.8090169943749475,0,1,0,1,0,1,0,1,0.5877852522924731,0.8090169943749475
0.102,0.5979049830575188,0.8015669848708766,0.012566039883352531,0.9999210442038161,0,1,0,1,0,1,0.5979049830575188,0.8015669848708766
0.104,0.6079302976946054,0.7939903986478354,0.025130095443337414,0.9996841892832999,0,1,0,1,0,1,0.6079302976946054,0.7939903986478354
0.106,0.6178596130903343,0.7862884321366189,0.037690182669934486,0.9992894726405892,0,1,0,1,0,1,0.6178596130903343,0.7862884321366189
0.108,0.6276913612907005,0.7784623015670235,0.050244318179769515,0.9987369566060175,0,1,0,1,0,1,0.6276913612907005,0.7784623015670235
0.11,0.6374239897486896,0.7705132427757893,0.06279051952931335,0.9980267284282716,0,1,0,1,0,1,0.6374239897486896,0.7705132427757893
0.112,0.6470559615694442,0.7624425110114479,0.0753268055279327,0.9971589002606139,0,1,0,1,0,1,0.6470559615694442,0.7624425110114479
0.114,0.6565857557529565,0.7542513807361038,0.08785119655074315,0.9961336091431725,0,1,0,1,0,1,0.6565857557529565,0.7542513807361038
0.116,0.6660118674342517,0.7459411454241821,0.1003617148512149,0.9949510169813002,0,1,0,1,0,1,0.6660118674342517,0.7459411454241821
0.118,0.6753328081210244,0.7375131173581739,0.1128563848734816,0.9936113105200084,0,1,0,1,0,1,0.6753328081210244,0.7375131173581739
0.12,0.6845471059286886,0.7289686274214116,0.1253332335643042,0.9921147013144779,0,1,0,1,0,1,0.6845471059286886,0.7289686274214116
0.122,0.6936533058128049,0.7203090248879069,0.137790290684638,0.9904614256966512,0,1,0,1,0,1,0.6936533058128049,0.7203090248879069
0.124,0.7026499697988492,0.7115356772092853,0.150225589120757,0.9886517447379141,0,1,0,1,0,1,0.7026499697988492,0.7115356772092853
0.126,0.7115356772092853,0.7026499697988492,0.16263716519488355,0.986685944207868,0,1,0,1,0,1,0.7115356772092853,0.7026499697988492
0.128,0.7203090248879069,0.6936533058128049,0.175023058975276,0.9845643345292053,0,1,0,1,0,1,0.7203090248879069,0.6936533058128049
0.13,0.7289686274214116,0.6845471059286886,0.1873813145857246,0.9822872507286887,0,1,0,1,0,1,0.7289686274214116,0.6845471059286886
0.132,0.7375131173581739,0.6753328081210244,0.19970998051440703,0.9798550523842469,0,1,0,1,0,1,0.7375131173581739,0.6753328081210244
0.134,0.7459411454241821,0.6660118674342516,0.21200710992205463,0.9772681235681935,0,1,0,1,0,1,0.7459411454241821,0.6660118674342516
0.136,0.7542513807361038,0.6565857557529564,0.22427076094938114,0.9745268727865771,0,1,0,1,0,1,0.7542513807361038,0.6565857557529564
0.138,0.7624425110114479,0.6470559615694443,0.23649899702372468,0.971631732914674,0,1,0,1,0,1,0.7624425110114479,0.6470559615694443
0.14,0.7705132427757893,0.6374239897486896,0.2486898871648548,0.9685831611286311,0,1,0,1,0,1,0.7705132427757893,0.6374239897486896
0.142,0.7784623015670233,0.6276913612907006,0.26084150628989683,0.9653816388332739,0,1,0,1,0,1,0.7784623015670233,0.6276913612907006
0.144,0.7862884321366188,0.6178596130903344,0.27295193551732505,0.9620276715860859,0,1,0,1,0,1,0.7862884321366188,0.6178596130903344
0.146,0.7939903986478353,0.6079302976946055,0.285019262469976,0.9585217890173758,0,1,0,1,0,1,0.7939903986478353,0.6079302976946055
0.148,0.8015669848708765,0.5979049830575189,0.29704158157703486,0.954864544746643,0,1,0,1,0,1,0.8015669848708765,0.5979049830575189
0.15,0.8090169943749475,0.5877852522924731,0.30901699437494734,0.9510565162951535,0,1,0,1,0,1,0.8090169943749475,0.5877852522924731
0.152,0.8163392507171839,0.5775727034222676,0.32094360980720943,0.9470983049947443,0,1,0,1,0,1,0.8163392507171839,0.5775727034222676
0.154,0.8235325976284275,0.5672689491267565,0.33281954452298657,0.9429905358928645,0,1,0,1,0,1,0.8235325976284275,0.5672689491267565
0.156,0.8305958991958126,0.5568756164881881,0.344642923174517,0.9387338576538741,0,1,0,1,0,1,0.8305958991958126,0.5568756164881881
0.158,0.8375280400421417,0.5463943467342691,0.3564118787132507,0.934328942456612,0,1,0,1,0,1,0.8375280400421417,0.5463943467342691
0.16,0.8443279255020151,0.5358267949789965,0.3681245526846779,0.9297764858882515,0,1,0,1,0,1,0.8443279255020151,0.5358267949789965
0.162,0.8509944817946918,0.5251746299612957,0.37977909552180106,0.925077206834458,0,1,0,1,0,1,0.8509944817946918,0.5251746299612957
0.164,0.8575266561936523,0.5144395337815064,0.3913736668372024,0.9202318473658704,0,1,0,1,0,1,0.8575266561936523,0.5144395337815064
0.166,0.8639234171928353,0.5036232016357609,0.40290643571366264,0.9152411726209175,0,1,0,1,0,1,0.8639234171928353,0.5036232016357609
0.168,0.8701837546695257,0.49272734154829156,0.41437558099328414,0.9101059706849957,0,1,0,1,0,1,0.8701837546695257,0.49272734154829156
0.17,0.8763066800438637,0.48175367410171516,0.4257792915650727,0.9048270524660195,0,1,0,1,0,1,0.8763066800438637,0.48175367410171516
0.172,0.8822912264349532,0.47070393216533274,0.43711576665093277,0.8994052515663711,0,1,0,1,0,1,0.8822912264349532,0.47070393216533274
0.174,0.8881364488135445,0.4595798606214879,0.4483832160900322,0.8938414241512638,0,1,0,1,0,1,0.8881364488135445,0.4595798606214879
0.176,0.8938414241512637,0.44838321609003245,0.45957986062148776,0.8881364488135446,0,1,0,1,0,1,0.8938414241512637,0.44838321609003245
0.178,0.899405251566371,0.437115766650933,0.47070393216533246,0.8822912264349533,0,1,0,1,0,1,0.899405251566371,0.437115766650933
0.18,0.9048270524660196,0.42577929156507266,0.48175367410171527,0.8763066800438636,0,1,0,1,0,1,0.9048270524660196,0.42577929156507266
0.182,0.9101059706849957,0.41437558099328425,0.4927273415482915,0.8701837546695257,0,1,0,1,0,1,0.9101059706849957,0.41437558099328425
0.184,0.9152411726209175,0.4029064357136627,0.5036232016357607,0.8639234171928353,0,1,0,1,0,1,0.9152411726209175,0.4029064357136627
0.186,0.9202318473658703,0.39137366683720254,0.5144395337815063,0.8575266561936523,0,1,0,1,0,1,0.9202318473658703,0.39137366683720254
0.188,0.925077206834458,0.3797790955218011,0.5251746299612956,0.850994481794692,0,1,0,1,0,1,0.925077206834458,0.3797790955218011
0.19,0.9297764858882513,0.3681245526846781,0.5358267949789967,0.8443279255020151,0,1,0,1,0,1,0.9297764858882513,0.3681245526846781
0.192,0.934328942456612,0.35641187871325075,0.5463943467342691,0.8375280400421418,0,1,0,1,0,1,0.934328942456612,0.35641187871325075
0.194,0.9387338576538741,0.344642923174517,0.556875616488188,0.8305958991958127,0,1,0,1,0,1,0.9387338576538741,0.344642923174517
0.196,0.9429905358928644,0.3328195445229867,0.5672689491267565,0.8235325976284275,0,1,0,1,0,1,0.9429905358928644,0.3328195445229867
0.198,0.9470983049947443,0.32094360980720943,0.5775727034222675,0.8163392507171839,0,1,0,1,0,1,0.9470983049947443,0.32094360980720943
0.2,0.9510565162951535,0.30901699437494745,0.5877852522924731,0.8090169943749475,0,1,0,1,0,1,0.9510565162951535,0.30901699437494745
0.202,0.954864544746643,0.29704158157703486,0.5979049830575188,0.8015669848708766,0.012566039883352607,0.9999210442038161,0,1,0,1,0.954864544746643,0.29704158157703486
0.204,0.9585217890173758,0.28501926246997616,0.6079302976946053,0.7939903986478354,0.025130095443337327,0.9996841892832999,0,1,0,1,0.9585217890173758,0.28501926246997616
